пункт госзадания,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)",Зав. Лабораторией (только ИОФ РАН),Номер темы ФАНО (Парус 8),авторы с аффилиациями
1,"A.A. Shiryaev, G.Kh. Musaev, V.V. Levkin, I.V. Reshetov, M.V. Loshchenov, P.M. Alekseeva, V.V. Volkov, K.G. Linkov, V.I. Makarov, I.O. Shchekoturov, A.V. Borodkin, V.B Loschenov ",Combined Treatment of Nonresectable Cholangiocarcinoma Complicated by Obstructive Jaundice,Photodiagnosis and Photodynamic Therapy,26 (-) 218 (2019),https://doi.org/10.1016/j.pdpdt.2019.04.006,Q3,WOS:000474330400038,,,,"This work was supported by the Ministry of Science and Higher Education of the Russian Federation, project no. FMEFI61618 × 0096.","A.A. Shiryaev[1], G.Kh. Musaev[1], V.V. Levkin[1], I.V. Reshetov[1], M.V. Loshchenov[2],
P.M. Alekseeva[2,3], V.V. Volkov[2], K.G. Linkov[2], V.I. Makarov[2], I.O. Shchekoturov[1], A.V. Borodkin[2], V.B Loschenov[2,3]
[1] Oncology Center, I.M. Sechenov First Moscow State Medical University (Sechenov University), Ministry of Health of the Russian Federation, University Clinical Hospital no. 1, Bolshaya Pirogovskaya str., 6, Moscow, 119435, Russia
[2] Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov str., 38, Moscow, 119991, Russia
[3] National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Kashirskoye sh., 31, Moscow, 115409, Russia
"
1,"Меерович Г.А., Ахлюстина Е.В., Савельева Т.А., Линьков К.Г., Лощенов В.Б.",Оптический  спектроанализатор  с  расширенным  динамическим  диапазоном  для  фармакокинетических  исследований    флуоресцирующих  препаратов  в  биотканях,Biomedical  Photonics,8 (1) 46 (2019),https://doi.org/10.24931/2413-9432-2019-8-1-46-51,Q3,"Меерович Г.А., Ахлюстина Е.В., Савельева Т.А., Линьков К.Г., Лощенов В.Б., 'Оптический  спектроанализатор  с  расширенным  динамическим  диапазоном  для  фармакокинетических  исследований    флуоресцирующих  препаратов  в  биотканях', Biomedical  Photonics, 8 (1) 46 (2019), Q3",,ОСПЯ,Лощенов В.Б.,"При поддержке: РФФИ, грант № 18–08–01112А","Г.А. Меерович1,2, Е.В.Ахлюстина2, Т.А. Савельева1,2, К.Г. Линьков1, В. Б. Лощенов1,2 1 Институт общей физики им. А.М. Прохорова Российской академии наук, Москва, Россия 2 Национальный исследовательский ядерный университет МИФИ, Москва, Россия"
3,"E V Akhlyustina, G A Meerovich, I G Tiganova, E A Makarova, N I Philipova, I D Romanishkin, N V Alekseeva, E A Lukyanets, Yu M Romanova and V B Loschenov",New cationic photosensitizers: photophysical properties and results of preliminary studies of antibacterial efficacy,Journal of Physics: Conference Series,1189 (1) 012033 (2019),10.1088/1742-6596/1189/1/012033,Q3,,,,,благодарности нет,"E V Akhlyustina1, G A Meerovich1,2, I G Tiganova3, E A Makarova4, N I Philipova3, I D Romanishkin2, N V Alekseeva3, E A Lukyanets4, Yu M Romanova3 and V B Loschenov1,2
1 National Research Nuclear University MEPhI, Moscow,Russia
2 Prokhorov General Physics Institute of the Russian Academy of Sciences, Moscow, Russia
3 N.F.Gamaleya National Research Center of Epidemiology and Microbiology, Moscow, Russia
4 Organic Intermediates and Dyes Institute, Moscow, Russia"
,"Yu Orlova, O Majorova, L Khalilova, A Voronkov, A Fomenkov, A Nosov, L Popova, A Shuvalov, A Ryabova",Sodium transport by endocytic vesicles in cultured Arabidopsis thaliana (L.) Heynh. cells,In Vitro Cellular & Developmental Biology - Plant,55:359–370 (2019),https://doi.org/10.1007/s11627-019-10005-7,Q3,WOS:000483705400001,,,,"The work was supported in part by the Russian Foundation for Basic Research, grant no. 18-04-00504 (for YVO, OVS, LAK, AVS, and YVB) and Russian Science Foundation, grant no. 17-14- 01099 (for AAF and AVN).","Yuliya V. Orlova1, Olga V. Sergienko1, & Lyudmila A. Khalilova1 & Alexander S. Voronkov1 & Artem A. Fomenkov1,2 & Alexander V. Nosov1,2 & Larissa G. Popova1 & Aleksei V. Shuvalov1 & Anastasia V. Ryabova3 & Yuri V. Balnokin1
1 K. A. Timiryazev Institute of Plant Physiology, Russian Academy of Sciences, Botanicheskaya str. 35, Moscow, Russia 127276
2 Institute of Cytology and Genetics, Siberian Branch, Russian Academy of Sciences, Lavrentieva pr. 10, Novosibirsk, Russia 630090
3 A. M. Prokhorov General Physics Institute, Russian Academy of Sciences, Vavilov str. 38, Moscow, Russia 119991"
3,"Ланцова А.В., Борисова Л.М., Меерович Г.А., Бунятян Н.Д., Олефир Ю.В., Прокофьев А.Б., Евтеев В.А., Саповский М.М., Киселева М.П., Санарова Е.В., Орлова О.Л., Дмитриева М.В., Полозкова А.П., Оборотова Н.А., Огай М.А., Хаджиева З.Д., Николаева Л.Л.",Изучение противоопухолевой активности липосомального фотосенсибилизатора – Липофталциана,Бюллетень экспериментальной биологии и медицины,168 (9) 332 (2019),,Q4,,39450575,,,,"А.В.Ланцова1, Л.М.Борисова1, Г.А.Меерович2, Н.Д.Бунятян3,4, Ю.В.Олефир3,4, А.Б.Прокофьев3,4, В.А.Евтеев4, М.М.Саповский3, М.П.Киселева1, Е.В.Санарова1, О.Л.Орлова1, М.В.Дмитриева1, А.П.Полозкова1, Н.А.Оборотова1, М.А.Огай5, З.Д.Хаджиева5, Л.Л.Николаева1,3
1 ФГБУ НМИЦ онкологии им. Н.Н.Блохина Минздрава России, Москва, РФ
2 Институт общей физики им. А.М.Прохорова РАН, Москва, РФ
3 ФГАОУ ВО Первый МГМУ им. И.М.Сеченова Минздрава России (Сеченовский Университет), Москва, РФ
4 ФГБУ Научный центр экспертизы средств медицинского применения Минздрава России
"
,"G A Meerovich, E V Akhlyustina, I G Tiganova, E A Makarova, E R Tolordava, Yu S Zhizhimova, N I Philipova, I D Romanishkin, E A Lukyanets, Yu M Romanova, V B Loschenov.",Photodynamic inactivation of Pseudomonas aeruginosa bacterial biofilms using photosensitizers based octacationic derivatives of phthalocyanines and bacteriochlorins.,Journal of Physics: Conference Series. ,Статья принята к печати,,Q4,,,,,,
,"Ryabova AV, Romanishkin ID, Skobeltsin AS, Moskalev AS, Makarov VI, Loschenov VB, Nikiforov NG,
Sobenin IA, Orekhov AN.", Subcellular anti-atherosclerotic therapy,Vessel Plus,"2019,3:17.",http://dx.doi.org/10.20517/2574-1209.2019.10,РИНЦ,,,,,,
2,"T. Savelieva, D. Kustov, P. Grachev, V. Makarov, E. Osipova, V. Loschenov",Combined Video Analysis of ICG and 5-ALA Induced Protoporphyrin IX and Hemoglobin Oxygen Saturation in near Infrared,"Proceedings of the 7th International Conference on Photonics, Optics and Laser Technology","1, 320-324 (2019)",https://doi.org/10.5220/0007693703200324,нет Q,"T. Savelieva, D. Kustov, P. Grachev, V. Makarov, E. Osipova, V. Loschenov, 'Combined Video Analysis of ICG and 5-ALA Induced Protoporphyrin IX and Hemoglobin Oxygen Saturation in near Infrared', Proceedings of the 7th International Conference on Photonics, Optics and Laser Technology, 1, 320-324 (2019), нет Q",,ОСПЯ,Лощенов В.Б.,The reported study was funded by RFBR according to the research project № 17-00-00162 (K) (17-00-00159) and partially supported by the Competitiveness Program of MEPhI.,"T. Savelieva 1 , D. Kustov 2 , P. Grachev 1 , V. Makarov 2 , E. Osipova 2 and V. Loschenov 1
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov st., Moscow, Russia, National Research Nuclear University MEPhI, Kashirskoe sh., Moscow, Russia , 
2 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov st., Moscow, Russia"
2,"Pominova D.V. , Proydakova V.Yu. , Romanishkin I.D. , Ryabova A.V. ,  Grachev P.V., Kuznetsov S.V. , Voronov V.V. ,Fedorov P.P. ",Strategies to enhance the sensitivity of NaGdF4:Yb-Tm based nanothermometers,"Proc. SPIE 11067, Saratov Fall Meeting 2018: Computations and Data Analysis: from Nanoscale Tools to Brain Functions",110671B (2019),10.1117/12.2523177,нет Q,WOS:000483557700046    http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=3&SID=F3jbm4M6rXyTf1lWLB7&page=1&doc=4,,,,Funding for this research was provided by Russian Science Foundation (project N17-72-20186).,"Russian Acad Sci, Prokhorov Gen Phys Inst, Vavilova Str 38, Moscow 119991, Russia"
2,"Farrakhova Dina,Maklygina Yulia,Romanishkin Igor,Ryabova Anastasia,Yakavets Ilya,Millard Marie,Bolotine Lina,Plyutinskaya Anna,Karmakova Tatyana,Pankratov Andrey,Loschenov Victor ",Investigation of Ce6 accumulation and distribution in cell cultures of head and neck cancers,"Proc. SPIE 11065, Saratov Fall Meeting 2018: Optical and Nano-Technologies for Biology and Medicine",110651V (2019),10.1117/12.2523465,нет Q,WOS:000483078200066,,,,This work was supported by a Ministry of Science and Higher Education of the Russian Federation - RFMEFI61618X0096.,"Dina Farrakhova, Prokhorov General Physics Institute (Russian Federation)
Yulia Maklygina, Prokhorov General Physics Institute (Russian Federation)
Igor Romanishkin, Prokhorov General Physics Institute (Russian Federation)
Anastasia Ryabova, Prokhorov General Physics Institute (Russian Federation)
Ilya Yakavets, Ctr. de Recherche en Automatique de Nancy, Univ. de Lorraine, Institut de Cancérologie de Lorraine (France)
Marie Millard, Ctr. de Recherche en Automatique de Nancy, Univ. de Lorraine, Institut de Cancérologie de Lorraine (France)
Lina Bolotine, Ctr. de Recherche en Automatique de Nancy, Univ. de Lorraine, Institut de Cancérologie de Lorraine (France)
Anna Plyutinskaya, National Medical Research Radiological Ctr. (Russian Federation)
Tatyana Karmakova, National Medical Research Radiological Ctr. (Russian Federation)
Andrey Pankratov, National Medical Research Radiological Ctr. (Russian Federation)
Victor Loschenov, Prokhorov General Physics Institute (Russian Federation)
National Research Nuclear Univ. (Russian Federation)"
,"V.B. Loschenov, T.A. Savelieva, P.V. Grachev, K.G. Linkov, Yu.S. Maklygina, I.D. Romanishkin, A.Ryabova, D.M. Kustov, S.A. Goryajnov, A.A. Potapov.",Possible approaches to fluorescence diagnosis and photodynamic therapy for deep-seated tumors.,"Proc. SPIE 11070, 17th International Photodynamic Association World Congress",110706B (7 August 2019),https://doi.org/10.1117/12.2526013,нет Q,,,,,,"Victor Loschenov,1 Tatiana Savelieva,1 Pavel Grachev,1 Kirill Linkov,1 Yuliya Maklygina,1 Igor Romanishkin,1 Anastasia Ryabova,1 Daniil Kustov,1 Sergey Goryajnov,2 Alexander Potapov2
1Prokhorov General Physics Institute (Russian Federation)
2N.N. Burdenko National Medical Research Ctr. of Neurosurgery (Russian Federation)"
,"A. Fedotov, D. Pominova, E. O. Orlovskaya, Yu. V. Orlovskii, T. Niemi, R. Gumenyuk",Analysis of upconversion nanoparticles as an active medium for upconversion light sources,"Proceedings SPIE Volume 10914, Optical Components and Materials XVI, 109140R (2019)","Volume 10914,  109140R FEB 04-06, 2019",https://doi.org/10.1117/12.2507599,нет Q,WOS:000483557700046  http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=3&SID=F3jbm4M6rXyTf1lWLB7&page=1&doc=5&cacheurlFromRightClick=no,,,,,"A. Fedotov,1 D. Pominova,2 E. O. Orlovskaya,2 Yu. V. Orlovskii,3,2 T. Niemi,1 R. Gumenyuk1 1Tampere Univ. (Finland) 2A. M. Prokhorov General Physics Institute (Russian Federation) 3Univ. of Tartu (Estonia)"
,"G. A. Meerovich, E. V. Akhlyustina, I. G. Tiganova, E. A. Lukyanets, E. A. Makarova, E. R. Tolordava, O. A. Yuzhakova, I. D. Romanishkin, N. I. Philipova, Yu. S. Zhizhimova, Yu. M. Romanova, V. B. Loschenov, and A. L. Gintsburg","Invited chapter ""Novel Polycationic Photosensitizers for Antibacterial Photodynamic Therapy""","In book Adv Exp Med Biol - Advances in Microbiology, Infectious Diseases and Public Health","First Online: 25 August 2019 (2019) Chapter,  pp.1-19",https://doi.org/10.1007/5584_2019_431,нет Q,"Идентификатор PubMed:31446610
Уникальный идентификатор NLM:0121103
ISSN:0065-2598   http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=33&SID=E3aBeheB9WpKivuK1nP&page=1&doc=1",,,,нет благодарности,"G. A. Meerovich12
E. V. Akhlyustina2
I. G. Tiganova3
E. A. Lukyanets4
E. A. Makarova4
E. R. Tolordava3
O. A. Yuzhakova4
I. D. Romanishkin1
N. I. Philipova3
Yu. S. Zhizhimova3
Yu. M. Romanova35
V. B. Loschenov12
A. L. Gintsburg35
1.Prokhorov General Physics Institute of the Russian Academy of SciencesMoscowRussia
2.National Research Nuclear University “MEPHI”MoscowRussia
3.N.F. Gamaleya National Research Center of Epidemiology and MicrobiologyMoscowRussia
4.Organic Intermediates and Dyes InstituteMoscowRussia
5.I.M. Sechenov First Moscow State Medical UniversityMoscowRussia"
,"Meerovich G.A., Akhlyustina E.V., Savelieva T.A., Linkov K.G., Loschenov V.B.",Optical spectroanalyzer with extended dynamic range for pharmacokinetic investigations of photosensitizers in biotissue.,Biomedical Photonics,8(1):46-51 (2019),https://doi.org/10.24931/2413-9432-2019-8-1-46-51,нет Q,https://publons.com/publon/18726883/,,,,РФФИ № 18–08–01112А,"Г.А. Меерович1,2, Е.В. Ахлюстина2, Т.А. Савельева1,2, К.Г. Линьков1, В. Б. Лощенов1,2
1Институт общей физики им. А.М. Прохорова Российской академии наук, Москва, Россия
2Национальный исследовательский ядерный университет МИФИ, Москва, Россия"
2,"Farrakhova D.S., Makarov V.I., Loschenov V.B.",The engraftment dynamics evaluation of skin grafts via aluminium phthalocyanine nanoparticles using spectroscopic methods,"Journal of Physics: Conference Series, The IV International Conference on Laser&Plasma researches and technologies – LaPlas-2018",1238 (1) 012026 (2019),10.1088/1742-6596/1238/1/012026,нет Q,,,,,RFBR # 15-29-04869-ofi-m.,"D S Farrakhova1,2, V I Makarov2 and V B Loschenov1,2
1 National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Moscow, Russia
2 Prokhorov General Physics Institute of Russian Academy of Science, Moscow, Russia"
,"S Alia, F Zhou, C Daul, B Braden, A Bailey, S Realdon, J East, G Wagnieres, V Loschenov, E Grisan, W Blondel, J Rittscher",Endoscopy artifact detection (EAD 2019) challenge dataset,eprint arXiv:1905.03209,"eprint arXiv:1905.03209 Bibliographic Code: 
 2019arXiv190503209A",10.17632/C7FJBXCGJ9.1,нет в wos ,,,,,"We would like to acknowledge James Meakin and his team for providing us an online framework to host our challenge at grand-challenges.org. We would also like to thank the Medical Image Analysis Network (MedIAN) and Cancer Research UK (CRUK) for co-sponsoring our workshop event at IEEE ISBI 2019, Venice, Italy. We are grateful to our colleagues especially Mariia Dmitrieva, Korsuk Sirinukunwattana, Soumya Gupta, Ka Ho Tam and Joel Lefebvre who helped during our annotation protocol study.","Sharib Ali1, Felix Zhou2, Christian Daul3, Barbara Braden4, Adam Bailey4, Stefano Realdon5, James East4, Georges Wagnieres6, Maxim Loshchenov7, Enrico Grisan8, Walter Blondel3, Jens Rittscher1 (1 Institute of Biomedical Engineering and Big Data Institute,  University of Oxford, 2 Ludwig Institute for Cancer Research, University of Oxford, 3 CRAN UMR 7039, University of Lorraine, CNRS, 4 Translational Gastroenterology Unit, Experimental Medicine Div., University of Oxford, 5 Instituto Onclologico Veneto, IOV-IRCCS, 6 Swiss Federal Institute of Technology at Lausanne (EPFL), 7 Prokhorov General Physiscs Institute of the Russian Academy of Sciences, 8 Department of Information Engineering, University of Padova)


"
1,"Savelieva T.A., Kalyagina N.A., Grachev P.V., Goryajnov S.A., Shishkina L.V., Potapov A.A., Pavlova G.V., Loschenov V.B.",Fiber-optical analysis of light scattering and fluorescence of glial tumors in vivo,"Journal of Applied Spectroscopy, JAS",направлена в редакцию,,,,,,,,
1,"Коршунова А.В., Макаров В.И., Рябова А.В., Романишкин И.Д., Зорина О.А., Кречина Е.К., Пономарев Г.В.",Анализ эффективности фотодинамического отбеливания зубов с использованием фотосенсибилизатора хлорин е6,Biomedical Photonics,8 (3) 19-28 (2019),https://doi.org/10.24931/2413-9432-2019-8-3-19-28,,,,,,"Работа выполнена в рамках государственного задания ФАНО России (тема «Физические методы в медицине и биологии», № 0024–2019–0003)","А.В. Коршунова1, В.И. Макаров2, А.В. Рябова2, И.Д. Романишкин2, О.А. Зорина1,3, Е.К. Кречина1, Г.В. Пономарев4
1Центральный научно-исследовательский институт стоматологии и челюстно-лицевой хирургии, Москва, Россия
2Институт общей физики им. А.М. Прохорова РАН, Москва, Россия
3Первый МГМУ им. И.М. Сеченова (Сеченовский Университет), Москва, Россия
4Научно-исследовательский институт биомедицинской химии имени В.Н. Ореховича, Москва, Россия"
2,"Zharova T.A., Kogan E.A., Makarov V.I., Smorchkov M.M., Lychagin A.V., Ivannikov S.V., Zharkov N.V., Loschenov V.B.",Correlation of synovial caspase-3 concentration and the photodynamic effectiveness in the osteoarthritis treatment,Photodiagnosis and Photodynamic Therapy,принята к печати,,Q3,,,,,,"Zharova T.A.1, Kogan E.A.1, Makarov V.I.2, Smorchkov M.M.4, Lychagin A.V.1, Ivannikov S.V.1, Zharkov N.V. 1, Loschenov V.B.2,3 
1 I.M. Sechenov First Moscow State Medical University (Sechenov University), 119991, , Moscow, Trubetskaya str., 8-2
2 Prokhorov General Physics Institute of the Russian Academy of Sciences, 119991, Russian Federation, Moscow, Vavilov Str., 38
3 National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), 115409, Russian Federation, Moscow, Kashirskoe shosse, 31
4 N.N. Priorov Central Research Institute of Traumatology and Orthopedics, 127299, Russian Federation, Moscow, Priorov Str., 10
"
,"Proshkina G., Shramova E., Ryabova A., Katrivas L., Giannini C., Malpicci D., Levi-Kalisman Y., Deyev S., Kotlyar A.",Selective Eradication of Cancer Cells by Novel Small Multilamellar Liposomes Containing Large Quantities of Peptide Nucleic Acid,Biomaterials,направлена в редакцию,,"SJR-Q1, в WoS Q не видно",,,,,,
,"Vervald, E.N. Vervald, S.A. Burikov, S.V. Patsayeva, N.A. Kalyagina, N.E. Borisova, I.I. Vlasov, O.A. Shenderova, T.A. Dolenko",Interaction of Nanodiamonds with Lysozyme in Water Suspensions,J. of Phys. Chem. C.,готовится к отправке в журнал,,,,,,,,
,"A.A. Luginina, S.V. Kuznetsov, V.V. Voronov, A.D. Yapryntsev, V.K. Ivanov, D.I. Petukhov, A.A. Lyapin, A.S. Ermakov, D.V. Pominova, E.V. Chernova, A.A. Pynenkov, K.N. Nishchev, P.P. Fedorov ","Hydrophobization of up-conversion luminescent ﬁlms based on nanocellulose/MF2:Ho particles (M=Sr,Ca) by acrylic resin","NANOSYSTEMS: PHYSICS, CHEMISTRY, MATHEMATICS
",10 (5) 585 (2019) ,DOI10.17586/2220-8054-2019-10-5-585-598,нет Q,,,ОСПЯ,,The study was funded by the Russian Foundation for Basic Research (RFBR 16-29-11784-ofi-m).,"A.A. Luginina1, S.V. Kuznetsov1, V.V. Voronov1, A.D. Yapryntsev2, V.K. Ivanov2, D.I. Petukhov3, A.A. Lyapin4, A.S. Ermakov4, D.V. Pominova1, E.V. Chernova1, A.A. Pynenkov4, K.N. Nishchev4, P.P. Fedorov1
1Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov str. 38, Moscow, 119991, Russia 
2Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences, Leninskii prosp. 31, Moscow, 119991, Russia
3Lomonosov Moscow State University, Chemical department, Leninskie Gory str. 1, Moscow, 119991, Russia 
4Ogarev Mordovia State University, Bolshevistskaya str. 68, Saransk, 430005, Russia"
,"А.А.Мамедов, В.Б.Лощенов, Н.С.Морозова, А.В.Рябова, К.О.Иванникова, Н.А.Орлова
",Исследование пенетрационной способности адгезивныъ систем на временных зубах методом конфокальной микроскопии,Biomedical Photonics,,,,,,,,"Работа выполнена при активной поддержке ЦКП ИОФ РАН «Технологический и диагностический центр для производства, исследования и аттестации микро и наноструктур»","А.А.Мамедов1, В.Б.Лощенов2, Н.С.Морозова1, А.В.Рябова2, К.О.Иванникова1, Н.А.Орлова 1
1ФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России (Сеченовский Университет), Москва, Россия
2 Институт общей физики им. А.М. Прохорова РАН, Москва, Россия"
,"Yagudaev D.M., Gens G.P., Kadyrov Z.A., Tikhonenko A.V., Kalyagina N.A.",Fractional delivery of light during photodynamic therapy of penile cancer,Biomedical Photonics,8 (4) (2019),,,,,,,,
,"Shiryaev A., Alekseeva P., Efendiev K., Yakovlev D., Moskalev A., Kozlikina E., Kharnas P., Reshetov I., Levkin V., Loshchenov V.",Investigated spectral-fluorescent properties of endogenous porphyrins of the wild boar hepatobiliary system optimize the diagnostics and treatment of cholangiocarcinoma with FD and PDT,Optical Engineering,,,Q3 (optics),,,,,,"Artem Shiryaeva a, Polina Alekseeva b, c, Kanamat Efendiev b, Dmitry Yakovlev d, Arkadii Moskalev c, Elizaveta Kozlikina b, Pavel Kharnas e, Igor Reshetov a, Vladimir Levkin a, Victor Loshchenov c, 
aOncology Center, Sechenov First Moscow State Medical University (Sechenov University), Ministry of Health of the Russian             bNational Research Nuclear University MEPhI (Moscow Engineering Physics Institute MEPhI), Kashirskoye shosse 31, Moscow, 115409 Russia 
cProkhorov General Physics Institute, Russian Academy of Sciences, ul. Vavilova 38, Moscow, 119991 Russia
dShemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, Moscow, 117997 Russia
eRussian State Social University, ul. Wilhelm Pieck 4, Moscow, 129226 Russia"
,"А. А. Потапов, С. А. Чобулов, П. В. Никитин, В. А. Охлопков, С. А. Горяйнов, А. В. Косырькова, А. Д. Маряхин, Д. М. Чёлушкин, М. В. Рыжова, Н. Е. Захарова, А. И. Баталов, И. Н. Пронин, Г. В. Данилов, Т. А. Савельева, В. Б. Лощенов, К. С. Яшин, В. П. Чехонин",Интраоперационная флуоресценция сосудов в структуре глиобластом головного мозга и их гистологическая характеристика,Журнал «Вопросы нейрохирургии» имени Н.Н. Бурденко ,"83 (6), 21 (2019)",10.17116/neiro20198306121,,,,,,,
